"Registry name","ID","meta","Display name","Count"
"biomesoplenty:biome_block",463,0,"Biome Essence Ore",13173
"biomesoplenty:crystal",462,0,"Celestial Crystal",35280
"biomesoplenty:gem_ore",464,0,"Ender Amethyst Ore",13248
"cyclicmagic:end_coal_ore",5246,0,"End Coal Ore",38264
"cyclicmagic:end_diamond_ore",5249,0,"End Diamond Ore",2201
"cyclicmagic:end_emerald_ore",5248,0,"End Emerald Ore",2173
"cyclicmagic:end_gold_ore",5250,0,"End Gold Ore",25826
"cyclicmagic:end_iron_ore",5251,0,"End Iron Ore",25166
"cyclicmagic:end_lapis_ore",5247,0,"End Lapis Ore",31823
"cyclicmagic:end_redstone_ore",5245,0,"End Redstone Ore",39282
"draconicevolution:draconium_ore",341,2,"Draconium Ore",13809
"extrautils2:enderlilly",382,7,"Ender Lilly",1387
"forestry:beehives",976,4,"Ender Hive",81
"magicbees:hiveblock",5668,5,"Oblivion Hive",694
"minecraft:air",0,0,"minecraft:air",541225841
"minecraft:bedrock",7,0,"Bedrock",63
"minecraft:brewing_stand",117,5,"minecraft:brewing_stand",1
"minecraft:chest",54,2,"Oak Chest",3
"minecraft:chest",54,3,"Oak Chest",1
"minecraft:chest",54,4,"Oak Chest",2
"minecraft:chest",54,5,"Oak Chest",1
"minecraft:chorus_flower",200,5,"Chorus Flower",2967
"minecraft:chorus_plant",199,0,"Chorus Plant",23557
"minecraft:end_bricks",206,0,"End Stone Bricks",1511
"minecraft:end_gateway",209,0,"minecraft:end_gateway",1
"minecraft:end_rod",198,1,"End Rod",127
"minecraft:end_rod",198,2,"End Rod",13
"minecraft:end_rod",198,3,"End Rod",12
"minecraft:end_rod",198,4,"End Rod",14
"minecraft:end_rod",198,5,"End Rod",14
"minecraft:end_stone",121,0,"End Stone",12051673
"minecraft:ender_chest",130,5,"Ender Chest",1
"minecraft:fire",51,2,"minecraft:fire",1
"minecraft:fire",51,3,"minecraft:fire",3
"minecraft:fire",51,4,"minecraft:fire",1
"minecraft:fire",51,5,"minecraft:fire",1
"minecraft:fire",51,6,"minecraft:fire",4
"minecraft:iron_bars",101,0,"Iron Bars",146
"minecraft:ladder",65,2,"Ladder",14
"minecraft:ladder",65,3,"Ladder",6
"minecraft:ladder",65,4,"Ladder",3
"minecraft:ladder",65,5,"Ladder",3
"minecraft:obsidian",49,0,"Obsidian",44753
"minecraft:purpur_block",201,0,"Purpur Block",5449
"minecraft:purpur_pillar",202,0,"Purpur Pillar",1585
"minecraft:purpur_pillar",202,4,"Purpur Pillar",82
"minecraft:purpur_pillar",202,8,"Purpur Pillar",186
"minecraft:purpur_slab",205,0,"Purpur Slab",214
"minecraft:purpur_slab",205,8,"Purpur Slab",83
"minecraft:purpur_stairs",203,0,"Purpur Stairs",247
"minecraft:purpur_stairs",203,1,"Purpur Stairs",260
"minecraft:purpur_stairs",203,2,"Purpur Stairs",278
"minecraft:purpur_stairs",203,3,"Purpur Stairs",223
"minecraft:purpur_stairs",203,4,"Purpur Stairs",264
"minecraft:purpur_stairs",203,5,"Purpur Stairs",259
"minecraft:purpur_stairs",203,6,"Purpur Stairs",229
"minecraft:purpur_stairs",203,7,"Purpur Stairs",212
"minecraft:skull",144,3,"minecraft:skull",1
"minecraft:stained_glass",95,2,"Magenta Stained Glass",322
"minecraft:wall_banner",177,2,"minecraft:wall_banner",4
"minecraft:wall_banner",177,3,"minecraft:wall_banner",4
"minecraft:wall_banner",177,5,"minecraft:wall_banner",4
"mysticalagriculture:end_inferium_ore",4341,0,"§eEnd Inferium Ore",42562
"mysticalagriculture:end_prosperity_ore",4338,0,"End Prosperity Ore",42112
"plants2:aakore",5761,0,"Aakore",47
"plants2:aphrireroot",5760,0,"Aphrireroot",48
"plants2:briblebum",5762,0,"Briblebum",51
"plants2:saimbaire",5763,0,"Saimbaire",58
"plants2:small_flower_aithotus",5764,0,"Small Flower Aithotus",55
"techreborn:ore",597,8,"Tungsten Ore",1519
"techreborn:ore",597,9,"Sheldonite Ore",1768
"techreborn:ore",597,10,"Peridot Ore",1712
"techreborn:ore",597,11,"Sodalite Ore",1587
"thaumcraft:crystal_aer",2583,1,"Air Crystal",391
"thaumcraft:crystal_aer",2583,2,"Air Crystal",373
"thaumcraft:crystal_aer",2583,3,"Air Crystal",374
"thaumcraft:crystal_aqua",2585,1,"Water Crystal",191
"thaumcraft:crystal_aqua",2585,2,"Water Crystal",171
"thaumcraft:crystal_aqua",2585,3,"Water Crystal",137
"thaumcraft:crystal_ignis",2584,1,"Fire Crystal",194
"thaumcraft:crystal_ignis",2584,2,"Fire Crystal",187
"thaumcraft:crystal_ignis",2584,3,"Fire Crystal",196
"thaumcraft:crystal_ordo",2587,1,"Order Crystal",389
"thaumcraft:crystal_ordo",2587,2,"Order Crystal",370
"thaumcraft:crystal_ordo",2587,3,"Order Crystal",379
"thaumcraft:crystal_perditio",2588,1,"Entropy Crystal",399
"thaumcraft:crystal_perditio",2588,2,"Entropy Crystal",434
"thaumcraft:crystal_perditio",2588,3,"Entropy Crystal",375
"thaumcraft:crystal_terra",2586,1,"Earth Crystal",163
"thaumcraft:crystal_terra",2586,2,"Earth Crystal",194
"thaumcraft:crystal_terra",2586,3,"Earth Crystal",193
"thermalfoundation:ore_fluid",325,4,"Resonant End Stone",79521
