"Registry name","ID","meta","Display name","Count"
"biomesoplenty:hive",466,0,"Hive Block",5368
"biomesoplenty:hive",466,1,"Hive Block",759
"biomesoplenty:hive",466,2,"Empty Honeycomb Block",1305
"biomesoplenty:hive",466,3,"Hive Block",718
"biomesoplenty:honey",575,7,"biomesoplenty:honey",1738
"biomesoplenty:honey_block",467,0,"Honey Block",288
"botania:mushroom",3228,0,"White Shimmering Mushroom",14
"botania:mushroom",3228,1,"Orange Shimmering Mushroom",16
"botania:mushroom",3228,2,"Magenta Shimmering Mushroom",18
"botania:mushroom",3228,3,"Light Blue Shimmering Mushroom",18
"botania:mushroom",3228,4,"Yellow Shimmering Mushroom",11
"botania:mushroom",3228,5,"Lime Shimmering Mushroom",15
"botania:mushroom",3228,6,"Pink Shimmering Mushroom",13
"botania:mushroom",3228,7,"Gray Shimmering Mushroom",10
"botania:mushroom",3228,8,"Light Gray Shimmering Mushroom",20
"botania:mushroom",3228,9,"Cyan Shimmering Mushroom",15
"botania:mushroom",3228,10,"Purple Shimmering Mushroom",12
"botania:mushroom",3228,11,"Blue Shimmering Mushroom",19
"botania:mushroom",3228,12,"Brown Shimmering Mushroom",17
"botania:mushroom",3228,13,"Green Shimmering Mushroom",14
"botania:mushroom",3228,14,"Red Shimmering Mushroom",24
"botania:mushroom",3228,15,"Black Shimmering Mushroom",8
"cyclicmagic:nether_coal_ore",5241,0,"Nether Coal Ore",150191
"cyclicmagic:nether_diamond_ore",5244,0,"Nether Diamond Ore",6032
"cyclicmagic:nether_emerald_ore",5243,0,"Nether Emerald Ore",5916
"cyclicmagic:nether_gold_ore",5240,0,"Nether Gold Ore",271930
"cyclicmagic:nether_iron_ore",5239,0,"Nether Iron Ore",90385
"cyclicmagic:nether_lapis_ore",5242,0,"Nether Lapis Ore",60297
"cyclicmagic:nether_redstone_ore",5238,0,"Nether Redstone Ore",48849
"deepresonance:resonating_crystal",5296,0,"Resonating Crystal",47
"deepresonance:resonating_ore",5315,1,"Resonating Ore",29103
"draconicevolution:draconium_ore",341,1,"Draconium Ore",2533
"extrabees:hive",1158,2,"Nether Hive",62
"magicbees:hiveblock",5668,2,"Resonating Hive",16
"magicbees:hiveblock",5668,4,"Infernal Hive",2361
"minecraft:air",0,0,"minecraft:air",116210771
"minecraft:bedrock",7,0,"Bedrock",4252792
"minecraft:bone_block",216,0,"Bone Block",589
"minecraft:bone_block",216,4,"Bone Block",526
"minecraft:bone_block",216,8,"Bone Block",498
"minecraft:brown_mushroom",39,0,"Mushroom",127936
"minecraft:brown_mushroom_block",99,1,"Mushroom",671
"minecraft:brown_mushroom_block",99,2,"Mushroom",1013
"minecraft:brown_mushroom_block",99,3,"Mushroom",677
"minecraft:brown_mushroom_block",99,4,"Mushroom",994
"minecraft:brown_mushroom_block",99,5,"Mushroom",8365
"minecraft:brown_mushroom_block",99,6,"Mushroom",1006
"minecraft:brown_mushroom_block",99,7,"Mushroom",664
"minecraft:brown_mushroom_block",99,8,"Mushroom",1001
"minecraft:brown_mushroom_block",99,9,"Mushroom",670
"minecraft:brown_mushroom_block",99,10,"Mushroom",1744
"minecraft:chest",54,2,"Oak Chest",11
"minecraft:chest",54,3,"Oak Chest",11
"minecraft:dirt",3,0,"Dirt",256204
"minecraft:fire",51,0,"minecraft:fire",594
"minecraft:fire",51,1,"minecraft:fire",24
